選手名,チーム,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,完投,完封,year,沢村賞
涌井　秀章,西武,2.3,27,16,6,0,0,0.727,863,211.2,162,12,76,9,199,57,54,1.12,3.15,11,4,2009,1
石川　雅規,ヤクルト,3.54,29,13,7,0,0,0.65,810,198.1,203,25,28,6,84,81,78,1.16,4.38,3,0,2009,0
三浦　大輔,横浜,3.32,28,11,11,0,0,0.5,799,195.1,175,28,37,4,138,82,72,1.09,4.18,6,1,2009,0
前田　健太,広島,3.36,29,8,14,0,0,0.364,795,193,194,22,29,3,147,82,72,1.16,3.56,3,1,2009,0
杉内　俊哉,ソフトバンク,2.36,26,15,5,0,0,0.75,764,191,145,14,63,4,204,59,50,1.09,2.97,6,1,2009,0
田中　将大,楽天,2.33,25,15,6,1,0,0.714,771,189.2,170,13,43,7,171,51,49,1.12,3,6,3,2009,0
吉見　一起,中日,2,27,16,7,0,1,0.696,750,189.1,166,10,33,3,147,52,42,1.05,2.79,5,4,2009,0
館山　昌平,ヤクルト,3.39,27,16,6,0,0,0.727,798,188.1,195,20,45,11,126,77,71,1.27,4.02,5,2,2009,0
大竹　寛,広島,2.81,29,10,8,0,0,0.556,781,185.2,177,10,60,4,127,72,58,1.28,3.44,5,3,2009,0
ダルビッシュ　有,日本ハム,1.73,23,15,5,0,0,0.75,701,182,118,9,45,6,167,36,35,0.9,2.77,8,2,2009,0
内海　哲也,巨人,2.96,27,9,11,0,0,0.45,730,179.2,161,23,36,4,115,66,59,1.1,4.17,5,1,2009,0
岸　孝之,西武,3.26,26,13,5,0,0,0.722,755,179.2,168,25,53,5,138,73,65,1.23,4.33,2,1,2009,0
ルイス,広島,2.96,29,11,9,0,1,0.55,715,176.1,156,13,19,14,186,68,58,0.99,2.53,3,1,2009,0
金子　千尋,オリックス,2.57,32,11,8,4,0,0.579,683,171.2,149,15,34,4,165,54,49,1.07,3,5,2,2009,0
永井　怜,楽天,3.42,26,13,7,0,0,0.65,703,171,153,17,50,8,144,69,65,1.19,3.71,5,2,2009,0
ホールトン,ソフトバンク,2.89,25,11,8,0,0,0.579,680,171,137,22,43,6,138,58,55,1.05,4.04,3,0,2009,0
岩隈　久志,楽天,3.25,24,13,6,0,0,0.684,710,169,179,15,43,6,121,62,61,1.31,3.69,5,0,2009,0
能見　篤史,阪神,2.62,28,13,9,0,0,0.591,675,165,142,11,44,5,154,61,48,1.13,2.99,1,1,2009,0
安藤　優也,阪神,3.9,28,8,12,0,0,0.4,714,164,180,18,51,6,97,80,71,1.41,4.3,2,0,2009,0
チェン,中日,1.54,24,8,4,0,0,0.667,644,164,113,10,40,3,146,32,28,0.93,2.92,5,4,2009,0
帆足　和幸,西武,3.59,25,9,6,0,0,0.6,692,163,175,10,40,5,126,70,65,1.32,3.18,5,2,2009,0
ゴンザレス,巨人,2.11,23,15,2,0,0,0.882,643,162,134,11,25,7,113,42,38,0.98,3.2,2,0,2009,0
グライシンガー,巨人,3.47,25,13,6,0,0,0.684,675,161,173,11,26,5,91,77,62,1.24,3.46,1,1,2009,0
山本　省吾,オリックス,4.23,27,9,7,0,0,0.563,685,159.2,176,18,47,4,110,84,75,1.4,4.17,3,1,2009,0
成瀬　善久,ロッテ,3.28,23,11,5,0,0,0.688,627,153.2,146,14,28,3,156,61,56,1.13,2.86,5,1,2009,0
東野　峻,巨人,3.17,27,8,8,0,0,0.5,652,153.1,133,18,57,13,133,61,54,1.24,4.26,1,0,2009,0
近藤　一樹,オリックス,4.78,24,9,12,0,0,0.429,678,152.2,155,20,80,3,91,87,81,1.54,5.24,2,0,2009,0
久保　康友,阪神,3.75,26,9,8,0,0,0.529,646,151.1,140,14,50,16,113,66,63,1.26,4.14,1,1,2009,0
